#,symbol,entry,exit,days,in_px,out_px,net_pct,exit_reason
357,GPIL,2026-05-25,2026-06-19,25,285.1,269.1,-6.6,still open (marked to last close)
358,ZOTA,2026-05-25,2026-06-19,25,1122.1,1307.6,15.53,still open (marked to last close)
359,INDOTHAI,2026-05-26,2026-06-19,24,245.2,236.5,-4.52,Lean Score 55 fell below exit 60 (signal faded / re-rated)
360,MARKSANS,2026-05-29,2026-06-19,21,246.2,259.7,4.48,still open (marked to last close)
361,SHILPAMED,2026-05-29,2026-06-19,21,498.9,551.4,9.5,still open (marked to last close)
362,CHENNPETRO,2026-06-01,2026-06-19,18,1096.9,1097.8,-0.92,still open (marked to last close)
363,NETWORK18,2026-06-02,2026-06-19,17,30.3,34.0,11.26,still open (marked to last close)
364,SWSOLAR,2026-06-02,2026-06-19,17,191.6,235.5,21.9,still open (marked to last close)
365,MUTHOOTFIN,2026-06-09,2026-06-19,10,2991.1,3126.1,3.51,still open (marked to last close)
366,AARTIIND,2026-06-10,2026-06-19,9,433.6,484.5,10.73,Lean Score 51 fell below exit 60 (signal faded / re-rated)
367,GRMOVER,2026-06-11,2026-06-19,8,87.6,93.3,5.52,still open (marked to last close)
368,AARTIPHARM,2026-06-19,2026-06-19,0,691.8,691.8,-1.0,still open (marked to last close)
369,ACC,2026-06-19,2026-06-19,0,1343.3,1343.3,-1.0,still open (marked to last close)
370,ALKEM,2026-06-19,2026-06-19,0,5381.0,5381.0,-1.0,still open (marked to last close)
371,AMBUJACEM,2026-06-19,2026-06-19,0,423.9,423.9,-1.0,still open (marked to last close)
372,ASHOKA,2026-06-19,2026-06-19,0,135.2,135.2,-1.0,still open (marked to last close)
373,BAJAJHLDNG,2026-06-19,2026-06-19,0,10677.0,10677.0,-1.0,still open (marked to last close)
374,BANKINDIA,2026-06-19,2026-06-19,0,146.6,146.6,-1.0,still open (marked to last close)
375,BRIGADE,2026-06-19,2026-06-19,0,545.5,545.5,-1.0,still open (marked to last close)
376,BSOFT,2026-06-19,2026-06-19,0,326.4,326.4,-1.0,still open (marked to last close)
377,CAMS,2026-06-19,2026-06-19,0,823.1,823.1,-1.0,still open (marked to last close)
378,CANBK,2026-06-19,2026-06-19,0,133.7,133.7,-1.0,still open (marked to last close)
379,CENTRALBK,2026-06-19,2026-06-19,0,32.8,32.8,-1.0,still open (marked to last close)
380,CIEINDIA,2026-06-19,2026-06-19,0,464.0,464.0,-1.0,still open (marked to last close)
381,DRREDDY,2026-06-19,2026-06-19,0,1272.1,1272.1,-1.0,still open (marked to last close)
382,EIDPARRY,2026-06-19,2026-06-19,0,704.1,704.1,-1.0,still open (marked to last close)
383,ELECTCAST,2026-06-19,2026-06-19,0,81.3,81.3,-1.0,still open (marked to last close)
384,ENGINERSIN,2026-06-19,2026-06-19,0,250.7,250.7,-1.0,still open (marked to last close)
385,FINPIPE,2026-06-19,2026-06-19,0,175.6,175.6,-1.0,still open (marked to last close)
386,GPPL,2026-06-19,2026-06-19,0,153.1,153.1,-1.0,still open (marked to last close)
387,GUJGASLTD,2026-06-19,2026-06-19,0,388.4,388.4,-1.0,still open (marked to last close)
388,HCC,2026-06-19,2026-06-19,0,27.0,27.0,-1.0,still open (marked to last close)
389,HEG,2026-06-19,2026-06-19,0,531.9,531.9,-1.0,still open (marked to last close)
390,HEROMOTOCO,2026-06-19,2026-06-19,0,4974.9,4974.9,-1.0,still open (marked to last close)
391,JAICORPLTD,2026-06-19,2026-06-19,0,121.2,121.2,-1.0,still open (marked to last close)
392,JMFINANCIL,2026-06-19,2026-06-19,0,126.3,126.3,-1.0,still open (marked to last close)
393,MGL,2026-06-19,2026-06-19,0,1209.0,1209.0,-1.0,still open (marked to last close)
394,NATCOPHARM,2026-06-19,2026-06-19,0,889.0,889.0,-1.0,still open (marked to last close)
395,NAZARA,2026-06-19,2026-06-19,0,297.4,297.4,-1.0,still open (marked to last close)
396,NMDC,2026-06-19,2026-06-19,0,88.4,88.4,-1.0,still open (marked to last close)
397,PARADEEP,2026-06-19,2026-06-19,0,136.2,136.2,-1.0,still open (marked to last close)
398,PATANJALI,2026-06-19,2026-06-19,0,421.7,421.7,-1.0,still open (marked to last close)
399,PFIZER,2026-06-19,2026-06-19,0,4533.7,4533.7,-1.0,still open (marked to last close)
400,PROTEAN,2026-06-19,2026-06-19,0,606.5,606.5,-1.0,still open (marked to last close)
